00a020092E700 C143951941201               12 3               FF01.000  47
!001fECO2   27.5 mmol/L  003D
!002h0092E6
!000a020093E700 C144004941201               12 4               FF01.000  3F
!001fECO2   25.1 mmol/L  0037
!002h0093E7
!000a020094E700 C144016941201               12 5               FF01.000  44
!001fECO2   25.5 mmol/L  003B
!002h0094E8
!000a020095E700 C144029941201               12 6               FF01.000  4A
!001fECO2   25.9 mmol/L  003F
!002h0095E9
!000a020096E700 C144041941201               12 7               FF01.000  46
!001fECO2   23.1 mmol/L  0035
!002h0096EA
!000a020097E700 C144054941201               12 8               FF01.000  4C
!001fECO2   23.4 mmol/L  0038
!002h0097EB
!000a020098E700 C144106941201               12 9               FF01.000  4C
!001fECO2   30.7 mmol/L  0039
!002h0098EC
!000a020099E700 C144131941201               1210               FF01.000  53
!001fECO2   20.8 mmol/L  0039
!002h0099ED
!000a020000E700 C150859941201               11 1               FF01.000  3E
!001ck                                                                                             20
!002fGLU     5.8 mmol/L  002C
!003fAMYL   42.  U/L     0051
!004fAST    44.  U/L     0029
!005fUREA    5.4 mmol/L  0050
!006fALT    60.  U/L     0022
!007fECO2   23.8 mmol/L  0042
!008fTBIL   18.  umol/L  0059
!009h0000E2
!000a020001E700 C1510109412012              11 2               FF01.000  3E
!001fNa+   137.  mmol/L  002B
!002fAST    81.  U/L     0028
!003fK+      4.35mmol/L  00EA
!004fCl-    98.  mmol/L  0026
!005h0001DF
!000a020002E700 C1510569412013              11 3               FF01.000  4B
!001fAST    37.  U/L     0028
!002fALT    45.  U/L     0021
!003h0002DE
!000a020003E700 C1511429412014              11 4               FF01.000  4A
!001fGLU 99999.99mmol/L  60B3
!002fECO299999.99mmol/L  60B5
!003h0003DF
!000a020004E700 C1514039412016              13 6               FF01.000  51
!001fGLU     9.0 mmol/L  0027
!002fECO2   21.5 mmol/L  0038
!003h0004E0
!000a020005E700 C153850941201               12 1               FF01.000  3E
!001fAST    57.  U/L     002A
!002fALKP  140.  U/L     0054
!003fALB    41.  g/L     001E
!004fALT    64.  U/L     0024
!005fGGT    96.  U/L     002B
!006fLDH   645.  U/L     0032
!007fCK     59.  U/L     00F8
!008h0005E6
!000a020006E700 C154026941201               12 2               FF01.000  3C
!001fAST 99999.99U/L     60B3
!002fALKP99999.99U/L     60D4
!003fALB 99999.99g/L     60AE
!004fALT 99999.99U/L     60AF
!005fGGT 99999.99U/L     60B1
!006fLDH 99999.99U/L     60A8
!007fCK  99999.99U/L     607F
!008h0006E7
!000a020007E700 C154051941201               12 3               FF01.000  3C
!001fAST    93.  U/L     002A
!002fALKP  408.  U/L     005B
!003fALB    42.  g/L     001F
!004fALT    48.  U/L     0026
!005fGGT   294.  U/L     003B
!006fLDH   944.  U/L     0034
!007fCK    154.  U/L     0004
!008h0007E8
!000a020008E700 C154218941201               12 4               FF01.000  43
!001fAST   123.  U/L     0034
!002fALKP  311.  U/L     0054
!003fALB    41.  g/L     001E
!004fALT    57.  U/L     0026
!005fGGT   314.  U/L     0034
!006fLDH  2250.  U/L     4141
!007fCK     52.  U/L     00F1
!008h0008E9
!000a020009E700 C154346941201               12 5               FF01.000  47
!001fAST    53.  U/L     0026
!002fALKP  146.  U/L     005A
!003fALB    38.  g/L     0024
!004fALT    92.  U/L     0025
!005fGGT    66.  U/L     0028
!006fLDH   692.  U/L     0034
!007fCK     66.  U/L     00F6
!008h0009EA
!000a020010E700 C154501941201               12 6               FF01.000  39
!001cl                                                                                             21
!002fAST    81.  U/L     0028
!003fALT    48.  U/L     0025
!004fLDH   654.  U/L     0030
!005fCK    298.  U/L     000B
!006fALKP  101.  U/L     0055
!007fGGT    43.  U/L     0025
!008fALB    44.  g/L     0026
!009h0010E3
!000a020011E700 C154628941201157            14 1               TF01.000  8C
!001fGLU    14.3 mmol/L  0036
!002h0011DD
!000a020012E700 C154723941201               12 7               FF01.000  42
!001fAST    43.  U/L     0025
!002fALKP   85.  U/L     004C
!003fALB    49.  g/L     0026
!004fALT    38.  U/L     0025
!005fGGT    55.  U/L     0026
!006fLDH   484.  U/L     0033
!007fCK    304.  U/L     0001
!008h0012E4
!000a020013E700 C154846941201               12 8               FF01.000  4A
!001fAST 99999.99U/L     60B3
!002fALKP   54.  U/L     0048
!003fALB    62.  g/L     3125
!004fALT    72.  U/L     0023
!005fGGT    24.  U/L     0022
!006fLDH   650.  U/L     002E
!007fCK     20.  U/L     51F2
!008h0013E5
!000a020014E700 C155014941201               12 9               FF01.000  40
!001fAST   224.  U/L     0036
!002fALKP  167.  U/L     005D
!003fALB    32.  g/L     001E
!004fALT   142.  U/L     0031
!005fGGT    93.  U/L     0028
!006fLDH   264.  U/L     002F
!007fCK    120.  U/L     00FD
!008h0014E6
!000a020015E700 C155142941201               1210               FF01.000  4B
!001fAST   282.  U/L     003A
!002fALKP  432.  U/L     0058
!003fALB    44.  g/L     0021
!004fALT   168.  U/L     0039
!005fGGT   172.  U/L     0036
!006fLDH  1081.  U/L     003D
!007fCK    574.  U/L     000A
!008h0015E7
!000a020016E700 C163648941201               12 2               FF01.000  47
!001fAST    50.  U/L     0023
!002fALKP  218.  U/L     005A
!003fALB    46.  g/L     0023
!004fALT    46.  U/L     0024
!005fGGT    40.  U/L     0020
!006fLDH  1160.  U/L     003B
!007fCK     34.  U/L     00F1
!008h0016E8
!000a020017E700 C170025941201               11 7               FF01.000  3F
!001fALB    52.  g/L     001E
!002h0017E3
!000a020018E700 C171252941201               14 7               FF01.000  46
!001fTP  99999.99g/L     60A1
!002h0018E4
!000a020019E700 C085411941202               13 3               FF01.000  44
!001cq                                                                                             26
!002fGLU    13.1 mmol/L  0034
!003fAST 99999.99U/L     60B5
!004fALT   412.  U/L     0233
!005h0019E8
!000a020020E700 C104530941202               12 1               FF01.000  33
!001fALKP   97.  U/L     1251
!002fGGT    19.  U/L     0225
!003fLDH    84.  U/L     021E
!004fCK     60.  U/L     02EF
!005h0020E0
!000a020021E700 C104649941202               12 2               FF01.000  40
!001fALKP   73.  U/L     024A
!002fGGT    44.  U/L     1224
!003fLDH    23.  U/L     2219
!004fCK     54.  U/L     02F2
!005h0021E1
!000a020022E700 C104739941202               12 3               FF01.000  42
!001fALKP   47.  U/L     024B
!002fGGT    42.  U/L     1222
!003fLDH   170.  U/L     122B
!004fCK    137.  U/L     1205
!005h0022E2
!000a020023E700 C104841941202               12 4               FF01.000  3E
!001fALKP  288.  U/L     1263
!002fGGT   216.  U/L     1235
!003fLDH    53.  U/L     021A
!004fCK     40.  U/L     53F3
!005h0023E3
!000a020024E700 C104931941202               12 5               FF01.000  40
!001fALKP   51.  U/L     0246
!002fGGT    52.  U/L     1223
!003fLDH   127.  U/L     022C
!004fCK     47.  U/L     02F4
!005h0024E4
!000a020025E700 C105046941202               12 6               FF01.000  40
!001fALKP   61.  U/L     0247
!002fGGT    65.  U/L     1227
!003fLDH    71.  U/L     021A
!004fCK     69.  U/L     02F8
!005h0025E5
!000a020026E700 C105136941202               12 7               FF01.000  42
